ORF	T0.0	T0.5	T1.0	T1.5	T2.0	T2.5	T3.0	T3.5	T4.0	T4.5	T5.0	T5.5	T6.0	T6.5
YKR036C	-0.3710	-0.1730	0.0540	-0.1100	0.0500	0.0980	-0.0910	0.1130	0.0830	0.0770	-0.1070	0.0880	0.0510	-0.0690
YDR151C	0.8570	-0.2080	-0.0770	-0.0440	0.2410	-0.3330	-0.1230	-0.1670	-0.1880	-0.2670	-0.2350	-0.2790	-0.3130	-0.3420
YFL007W	-0.5370	0.5300	0.1860	0.1120	0.1080	-0.3360	-0.2200	-0.0920	-0.0960	-0.1470	-0.2560	0.0260	-0.1900	0.3560
YDR485C	0.4420	-0.1280	-1.8980	0.1260	-0.1560	-0.2710	-0.3550	-0.1670	-0.4020	-0.3800	-0.3770	-0.3520	-0.2800	-0.1880
YLR022C	0.0110	-0.1780	0.1260	-0.1450	0.5990	0.2470	-0.0120	-0.2440	-0.3060	-0.0470	0.2210	-0.5180	-0.5930	-0.1480
YFR050C	0.8890	0.2490	0.0420	-0.0370	-0.3140	-0.2770	-0.1500	0.0770	0.0100	-0.1010	0.0700	0.3650	0.0580	-0.0350
YGR227W	-0.3080	0.1985	-0.1800	0.0645	-0.1745	-0.0255	-0.1075	0.0760	0.0280	0.0205	0.1450	0.0075	0.1940	0.1370
YGR215W	-0.1720	-0.6520	-0.3170	-0.0730	-0.2160	0.0620	-0.2130	0.1560	0.1260	0.0820	0.3330	-0.1610	-0.0790	0.1540
YGL037C	1.7330	0.6000	0.6720	0.3830	-0.5500	-0.6110	-0.3410	0.1570	0.1530	-0.6910	-0.4390	0.3290	0.5370	0.4260
YIR012W	-1.3320	-0.1210	-0.0280	0.4230	0.6280	0.7050	0.3150	0.1400	-0.0290	0.2380	-0.1950	-0.0310	-0.3290	-0.1770
YLR392C	0.7930	0.3280	0.0600	0.5260	0.1340	-0.0540	-0.0150	-0.4270	-0.3220	-0.4160	0.2030	-0.5360	-0.8610	-0.7610
YNL179C	0.6270	0.2460	0.5550	0.5990	0.1450	0.1790	0.3670	0.0510	-0.0130	-0.0460	0.1070	-0.1900	0.6060	0.4560
YNR018W	-0.4780	0.3300	0.0730	0.4230	0.5690	0.4700	0.1840	0.2020	0.4680	0.4070	0.1140	0.2350	0.0460	0.1950
YOR055W	1.2960	0.1020	0.2560	0.0240	0.0850	-0.2830	-0.0460	-0.0560	-0.0260	-0.4350	-0.1250	0.0060	0.0970	0.1680
YLR371W	-0.1820	0.0710	-0.2610	0.0550	-0.4400	-0.4570	-0.2250	-0.0020	0.5470	0.5190	-0.2300	0.4100	0.6270	-0.0250
