ORF,T0.0,T0.5,T1.0,T1.5,T2.0,T2.5,T3.0,T3.5,T4.0,T4.5,T5.0,T5.5,T6.0,T6.5
YPL005W,0.039,-0.441,-0.451,-0.407,-0.423,-0.766,-0.908,-0.767,-0.689,-0.695,0.174,-0.218,-0.599,-0.629
YHR038W,0.271,0.074,-0.395,-0.212,-0.301,-0.331,-0.212,-0.109,-0.129,-0.345,0.297,-0.238,-0.173,-0.403
YMR076C,-0.622,-0.579,-0.336,-0.189,0.056,0.001,0.337,-0.093,-0.174,-0.115,-0.31,-0.132,-0.413,-0.426
YMR177W,-1.028,-0.709,-0.301,0.564,0.486,0.377,0.214,0.067,-0.503,0.048,0.43,-0.441,-0.681,0.006
YNL049C,-0.948,-0.426,-0.513,-0.365,-0.015,0.206,-0.05,0.167,0.057,0.214,-0.244,0.005,-0.352,-0.122
YLR033W,-0.09,-0.485,-0.721,-0.528,-0.441,-0.301,-0.55,-0.358,-0.062,-0.268,-0.243,-0.217,-0.274,-0.548
YNL233W,-1.864,-0.805,-0.68,-0.306,0.455,0.563,0.038,0.387,0.01,0.282,-0.137,0.002,-0.534,-0.173
YMR088C,-0.526,-0.486,-0.557,-0.471,-0.273,-0.003,-0.17,-0.293,0.007,0.23,-0.292,0.112,-0.338,0.26
YKL070W,-0.072,0.03,0.257,-0.154,-0.305,0.079,0.037,0.113,0.029,0.124,0.173,-0.01,0.052,-0.216
YOL054W,-0.032,-0.126,0.72,-0.258,0.325,0.422,0.324,-0.174,-1.28,0.104,0.229,-0.186,0.198,0.356
YGR071C,-0.629,-0.051,-0.469,-0.059,-0.234,-0.121,-0.101,-0.144,0.156,0.166,0.009,-0.01,0.126,-0.078
YGR265W,-0.383,0.159,0.016,0.207,0.882,0.479,-0.005,-0.143,-0.173,-0.023,0.427,-0.435,-0.73,-0.264
YNL310C,-0.277,-0.02,0.16,0.086,0.114,0.072,0.361,0.126,-0.126,-0.066,-0.045,-0.255,-0.19,-0.207
YML071C,-0.684,-0.13,-0.506,0.129,-0.034,-0.197,-0.1,-0.177,-0.389,-0.238,-0.238,-0.073,-0.218,-0.406
YHR137W,-0.04,0.228,0.527,0.778,1.147,0.363,0.205,0.409,0.735,0.536,0.47,0.403,0.099,0.211
