ID_REF	Ctrl_1	Ctrl_2	Ctrl_3	Ctrl_4	Ctrl_5	Ctrl_6	Ctrl_7	Ctrl_8	Ctrl_9	BRCA1_1	BRCA1_2	BRCA1_3	BRCA1_4	BRCA1_5	BRCA1_6	BRCA1_7	BRCA1_8	BRCA1_9	BRCA2_1	BRCA2_2	BRCA2_3	BRCA2_4	BRCA2_5	BRCA2_6	BRCA2_7	BRCA2_8
200013_at	12.67745195	12.81541075	12.82178119	12.38908576	12.59202058	12.83460418	12.78685186	12.83704645	12.8012872	12.82265929	12.72037646	12.75772525	12.68199488	12.79659749	12.59833225	12.89358463	12.93415697	12.74152727	12.8953859	13.01324489	13.07132052	12.96921808	13.03302115	12.91913762	12.85755656	13.02418335
200014_s_at	9.96152105	10.11829313	10.65639443	10.26060271	9.774534452	10.00559295	10.62756791	9.35143643	10.15090916	9.766774589	10.21494834	10.28940544	10.15100797	10.19501502	10.33755779	10.12036441	9.93785448	9.605034539	9.861199985	9.952422285	10.08370817	10.17398529	10.09633842	10.03248218	10.08538502	9.979369946
200015_s_at	10.36258884	10.11063229	10.4051237	10.0388482	10.61400706	10.59419605	10.33219022	10.34481703	10.23345929	10.89273792	10.36791133	10.63522628	10.67029711	9.983714522	10.33123614	10.16318345	10.25862006	10.41835854	10.73552331	10.35535675	10.38311833	11.03888451	10.56519339	10.30720135	10.77016823	10.37654415
200016_x_at	13.47160387	13.54771948	13.57218242	13.31666891	13.40801091	13.3421253	13.49186448	13.17889369	13.47432505	13.4756792	13.31172397	13.35676294	13.37114131	13.39248652	13.38371203	13.44104952	13.48390701	13.31439397	13.68290596	13.44875993	13.55960953	13.32871591	13.50434828	13.5417743	13.50311582	13.45583375
200017_at	12.63059263	12.64168278	12.73080044	12.27436404	12.63255359	12.71913772	12.46749335	12.75433631	12.60400456	13.00496909	12.29261283	12.38858513	12.38169695	12.52146199	12.31113804	12.77927341	12.76416551	12.57546583	12.83422597	13.00257159	12.88852836	13.11558505	12.92198164	12.8406652	12.93199425	12.98143602
200018_at	13.3252286	13.51002521	13.5588554	13.24110957	13.50751345	13.51172271	13.50216899	13.5123827	13.37538607	13.62892741	13.37510085	13.38783608	13.33882538	13.36237922	13.42974962	13.42835165	13.53421084	13.50756875	13.76279876	13.61537322	13.54389622	13.63691858	13.51113966	13.50435089	13.53786855	13.61120835
200019_s_at	12.76791701	13.21015029	12.90787686	12.76771052	12.95654154	13.32997976	13.05673746	13.25694452	13.17935508	13.17572039	12.78390327	12.99221449	12.77121923	13.21489698	12.42004444	13.19344202	13.30626069	13.06036106	13.41187735	13.51458141	13.11743576	13.18014245	13.28373391	13.11641157	13.05555817	13.49148535
200020_at	9.225763127	9.68037645	10.34580431	9.775693165	9.323190174	9.459059609	9.910690476	8.47049283	9.426802192	9.681080895	10.07810639	9.732746011	9.759424467	9.806620845	9.964396125	9.201557983	9.464256472	9.471516933	8.85617273	9.016662731	9.437536555	9.872619062	9.435910212	9.264320769	9.78312945	9.120407799
200021_at	13.57711418	13.90537221	13.84050848	14.04975679	14.02988231	13.63338663	13.83279244	13.74253397	13.81174399	13.58367034	13.84157158	13.8938204	13.93969541	13.84015799	13.98430814	13.61546666	13.39485466	13.50324731	13.43059097	13.57392855	13.27097069	13.31643382	13.30101804	13.49849381	13.82285969	13.56360659
200022_at	13.06844296	13.20046672	13.07015101	12.77095799	13.09236861	13.32251936	13.02647552	13.43853742	13.17412443	13.44487488	13.16128412	12.89957646	12.7435144	13.2576591	12.65490081	13.30465614	13.28742841	13.25178599	13.33095174	13.42579218	13.43863075	13.30656513	13.54284197	13.29701968	13.13441245	13.39607477
200023_s_at	12.57434852	12.64742674	11.90485162	12.08615243	12.39856556	12.33683019	12.14170869	12.49661838	12.48605174	12.70745878	12.06801198	12.00373223	12.24223508	12.48531183	12.08673259	12.61914719	12.50601184	12.36392184	12.47085679	12.45550566	12.56268728	12.43336781	12.61700789	12.45588312	12.38153583	12.45158461
200024_at	13.03267583	13.2716728	13.20979865	12.76929835	12.89122502	13.12358765	13.14523337	13.26144231	13.12735993	13.18362117	13.04926034	12.97447669	13.0332571	13.29736091	12.98234228	13.30097422	13.23195253	12.94918213	13.24446411	13.2148517	13.32373785	13.14762695	13.21646649	13.28099932	12.97231686	13.20883753
